"province","death_source_id","death_source_short","death_source_full"
"BC",67,"BC67","https://www.youtube.com/watch?v=MTPhmha5KXM"
"BC",68,"BC68","https://www.youtube.com/watch?v=vPHVQu6eePg"
"BC",69,"BC69","https://vancouverisland.ctvnews.ca/b-c-announces-1-more-covid-19-death-23-new-cases-1.5042272"
"BC",70,"BC70","https://bc.ctvnews.ca/50-additional-cases-new-care-home-outbreak-of-covid-19-in-b-c-1.5046936"
"BC",71,"BC71","https://vancouverisland.ctvnews.ca/b-c-records-85-new-covid-19-cases-largest-single-day-increase-since-april-1.5061320"
"BC",72,"BC72","https://www.youtube.com/watch?v=usMT7yGvYtM"
"BC",73,"BC73","https://globalnews.ca/news/7288711/bc-coronavirus-update-aug-20/"
"BC",74,"BC74","https://globalnews.ca/news/7291748/bc-coronavirus-update-august-21/"
"BC",75,"BC75","https://www.youtube.com/watch?v=m5IQSinIVvw"
"BC",76,"BC76","https://www.youtube.com/watch?v=m3ldv8dXhnQ"
"BC",77,"BC77","https://www.youtube.com/watch?v=OzLl2iXYEto"
"BC",78,"BC78","https://news.gov.bc.ca/releases/2020HLTH0049-001630"
"BC",79,"BC79","https://www.youtube.com/watch?v=hOuon20PX7A"
"BC",80,"BC80","https://globalnews.ca/news/7317459/bc-coronavirus-update-september-4/"
"BC",81,"BC81","https://www.youtube.com/watch?v=1sonWEN4Kls"
"BC",82,"BC82","https://www.youtube.com/watch?v=Dx9Bj1B8e98"
"BC",83,"BC83","https://www.youtube.com/watch?v=V-haTZDAE8Y"
"BC",84,"BC84","https://news.gov.bc.ca/releases/2020HLTH0053-001814"
"BC",85,"BC85","https://www.youtube.com/watch?v=CryqZA7YvDU"
"BC",86,"BC86","https://globalnews.ca/news/7357019/bc-coronavirus-update-september-24/?utm_source=%40globalbc&utm_medium=Twitter"
"BC",87,"BC87","https://news.gov.bc.ca/releases/2020HLTH0053-001853"
"BC",88,"BC88","https://www.youtube.com/watch?v=GHw7543_i-s&ab_channel=ProvinceofBC"
"BC",89,"BC89","https://vancouverisland.ctvnews.ca/b-c-reports-1-more-covid-19-death-as-cases-surpass-9-000-1.5125023"
"BC",90,"BC90","https://www.youtube.com/watch?v=kWFkA7HpBBI&ab_channel=GlobalNews"
"BC",91,"BC91","https://bc.ctvnews.ca/161-cases-3-deaths-in-b-c-s-final-covid-19-update-of-the-week-1.5130066"
"BC",92,"BC92","https://www.youtube.com/watch?v=IyZAUq4XBHM&ab_channel=ProvinceofBC"
"BC",93,"BC93","https://www.cbc.ca/news/canada/british-columbia/covid-19-update-bc-oct-6-1.5752759"
"BC",94,"BC94","https://bc.ctvnews.ca/covid-19-update-b-c-adds-110-cases-to-surpass-10-000-infections-1.5137832"
"BC",95,"BC95","https://www.youtube.com/watch?v=ZeCiRY2-Wxs&ab_channel=GlobalNews"
"BC",96,"BC96","https://www.cbc.ca/news/canada/british-columbia/bc-covid-19-update-friday-1.5765983"
"BC",97,"BC97","https://www.youtube.com/watch?v=DU1FZ1H8FeE&ab_channel=cpac"
"BC",98,"BC98","https://news.gov.bc.ca/releases/2020HLTH0054-001885"
"BC",99,"BC99","https://www.youtube.com/watch?v=i-o3E_lO3G8&ab_channel=ProvinceofBC"
"BC",100,"BC100","https://news.gov.bc.ca/releases/2020HLTH0058-001902"
"BC",101,"BC101","https://www.cbc.ca/news/canada/british-columbia/covid-19-update-october-29-1.5782369"
"BC",102,"BC102","https://bc.ctvnews.ca/b-c-reports-272-covid-19-cases-1-death-in-final-update-of-the-week-1.5168159"
"BC",103,"BC103","https://www.youtube.com/watch?v=fYRfqgrzWVQ&ab_channel=ProvinceofBC"
"BC",104,"BC104","https://news.gov.bc.ca/releases/2020HLTH0059-001910"
"BC",105,"BC105","https://bc.ctvnews.ca/b-c-adds-335-cases-of-covid-19-sets-new-record-for-active-caseload-1.5174506"
"BC",106,"BC106","https://news.gov.bc.ca/releases/2020HLTH0059-001919"
"BC",107,"BC107","https://bc.ctvnews.ca/in-rare-weekend-update-b-c-health-officials-confirm-another-567-covid-19-cases-1.5178752"
"BC",108,"BC108","https://www.cbc.ca/news/canada/british-columbia/covid-19-update-nov-9-1.5795851"
